#BOX    MON   DAY        PJ         MLK        GT         BT         
65      4     19         317        1685       3950       1525       
66      3     18         1084       729        1168       3728       
67      8     22         83         2349       2166       3323       
68      7     1          339        2076       1991       604        
69      5     28         2587       1297       2350       1389       
70      4     16         3334       47         952        2475       
71      10    27         3356       1275       154        2638       
72      3     16         425        2254       988        1773       
73      9     17         3039       1864       3093       249        
74      2     27         1527       654        3772       1064       
75      8     21         3978       3830       631        16         
76      11    29         2432       2233       3272       3961       
77      5     1          1863       1386       2172       3314       
78      6     12         2501       241        1392       3056       
79      10    19         3321       544        2104       724        
80      5     22         2728       2262       1102       1554       
81      12    30         3983       2469       1198       3849       
82      10    19         2807       772        1590       2935       
83      5     2          1368       3752       338        3837       
84      11    16         3365       3314       1786       4086       
85      10    7          3516       2128       3737       3707       
86      4     14         673        595        1220       2963       
87      11    5          1892       163        2051       3328       
88      8     7          1944       3316       3667       2647       
89      8     8          4076       2961       1516       2461       
90      7     29         3651       1961       1380       1144       
91      8     18         641        706        820        3974       
92      8     24         3434       407        2598       2910       
93      6     16         1444       327        2117       1975       
94      2     16         2972       3417       3762       1519       
95      6     11         1100       4071       508        42         
96      6     13         2297       490        1690       539        
97      3     31         2105       3766       1076       441        
98      5     27         3166       1121       2484       1877       
99      2     2          2590       1110       2345       1848       
100     10    30         1129       850        3049       2577       
101     3     17         824        1539       3056       2017       
102     8     28         890        813        2932       2325       
103     3     17         2493       3850       2459       975        
104     12    27         3906       2837       1750       2245       
105     9     25         1761       210        3782       741        
106     5     29         3285       2974       3625       2926       
107     11    29         1085       595        3042       646        
108     6     22         544        2517       3058       640        
109     9     1          1567       2500       3310       2405       
110     8     12         1316       1309       2832       46         
111     4     1          1803       2479       4076       2785       
112     5     9          1763       690        868        1802       
113     7     12         1651       1463       786        1491       
114     1     20         1300       3627       2166       2351       
115     9     22         3236       685        2412       347        
116     1     31         697        292        2991       3184       
117     1     21         3067       3565       1738       1477       
118     7     8          2279       2385       1255       3273       
119     5     8          3216       55         2427       2882       
120     1     16         3840       2850       2600       205        
121     12    14         4056       2772       3082       1017       
122     2     13         3570       3595       1929       396        
123     4     26         2667       3871       2808       1678       
124     12    19         3112       2093       1476       80         
125     6     5          4014       1783       1431       3820       
126     11    8          1367       2514       3778       2382       
127     8     27         1346       1390       1308       589        
128     7     3          3320       272        4053       1916       
129     10    14         3897       2382       1726       3537       
130     11    8          3545       1739       992        2089       
131     8     17         2146       2724       1214       619        
132     9     24         878        6          3988       1928       
133     5     16         4061       625        970        3279       
134     8     29         2376       1087       3048       2439       
135     11    9          1965       729        673        2223       
136     11    3          825        3934       915        128        
137     8     19         1770       2534       3224       2317       
138     3     8          583        2101       4074       4077       
139     1     16         3013       1410       2614       2137       
140     7     8          1486       2650       429        1135       
141     4     2          1947       3271       1916       1407       
142     10    18         3018       1129       2083       2836       
143     10    4          3552       3309       2920       3693       
144     6     3          505        3197       880        1134       
145     2     8          2219       1745       1040       3065       
146     2     27         1776       138        1704       1485       
147     12    9          3780       985        607        1487       
148     6     5          2357       925        2794       1337       
149     5     16         1113       2125       923        1287       
150     4     9          1336       951        2343       1113       
151     12    24         4075       3008       143        1880       
152     6     11         1173       2844       105        135        
153     12    7          772        3877       2037       1618       
154     6     23         2430       3402       1377       1146       
155     1     30         1911       1716       871        3094       
156     3     27         3268       2563       2252       1670       
157     12    22         3664       668        3455       1232       
158     8     27         1780       206        1814       3280       
159     4     22         3364       1623       853        1770       
160     5     28         247        1356       43         1902       
161     4     3          3911       2033       1911       2398       
162     11    17         1254       2105       435        2725       
163     6     16         3333       3860       3457       2026       
164     10    21         3884       3621       233        2747       
165     3     3          873        1302       1173       1034       
166     3     21         755        1607       3103       2554       
167     5     6          4007       3156       3867       3553       
168     6     24         858        410        2766       1314       
169     11    1          765        1494       3079       740        
170     11    27         1498       2353       3250       3031       
171     5     25         938        1310       1368       3523       
172     8     29         3888       3635       1835       22         
173     1     26         3965       3027       2329       869        
174     5     15         3890       2535       2831       1920       
175     10    4          673        3077       3976       4046       
176     4     30         1542       3512       2915       1692       
177     7     11         2423       2034       3856       2023       
178     2     18         2448       2383       2459       2243       
179     9     19         3261       3475       3593       3287       
180     6     1          3416       457        1058       3843       
181     5     11         3129       3383       1536       2706       
182     1     26         1212       1613       3614       3466       
183     12    11         1401       3744       1114       3042       
184     5     24         1810       2626       1120       3966       
185     2     7          4001       2835       3453       2222       
186     9     18         2897       3436       2785       1949       
187     7     7          3997       1287       841        3499       
188     4     14         1376       2527       3220       1625       
189     8     18         1850       2477       2480       1399       
190     12    27         828        1812       2834       974        
191     12    15         3624       3930       3308       907        
192     7     11         3158       3446       471        3769       
193     8     26         2506       2313       3492       814        
194     9     16         1543       2961       2514       3351       
195     2     24         1901       3291       2329       2109       
196     9     16         3999       2262       1302       4002       
197     6     21         141        3567       3388       3278       
198     5     14         2635       985        17         555        
199     6     22         3870       165        3119       2908       
200     11    18         3150       3471       810        1467       
201     12    4          1959       1016       1639       3206       
202     12    10         107        2218       507        218        
203     8     6          2036       3541       3969       1553       
204     11    18         4016       1660       804        3292       
205     11    22         6          1783       1313       3202       
206     4     2          1302       24         151        1441       
207     1     27         2570       1836       3951       1245       
208     2     14         3521       1475       3346       2814       
209     7     23         1426       2970       3273       1163       
210     8     31         2769       144        3665       1630       
211     9     6          970        3996       3909       3268       
212     12    25         1253       1524       2121       3700       
213     1     26         1534       2496       3048       392        
214     11    4          3936       2586       1500       2496       
215     4     3          2772       1766       2072       341        
216     1     26         3720       1872       3999       3503       
217     3     18         3712       899        1499       714        
218     5     24         548        1429       49         1606       
219     11    20         935        1956       3138       3346       
220     4     9          1660       3848       2272       1710       
221     4     16         3895       3946       698        245        
222     10    17         2424       1706       1089       3554       
223     12    28         2074       1819       3483       2397       
224     5     30         383        3803       2770       908        
225     11    7          2014       4000       2232       1906       
226     8     30         854        353        3398       2894       
227     5     17         3022       965        342        235        
228     10    18         3531       134        1364       1636       
229     4     5          2248       2667       3207       3228       
230     10    24         3665       196        2634       1620       
231     12    12         1852       3917       3065       3028       
232     11    1          629        1384       3733       3726       
233     2     5          1580       3542       1176       2019       
234     12    22         1883       660        1799       2119       
235     10    6          3967       492        180        3888       
236     5     26         602        1188       4059       3270       
237     4     24         3400       2896       2952       80         
238     4     8          1406       2171       1123       2854       
239     9     20         595        1407       2375       498        
240     5     9          3575       3785       1060       3767       
241     11    17         2958       1606       2290       1846       
242     10    6          708        2600       3120       3686       
243     5     11         3020       3562       224        3378       
244     8     23         1146       3594       1722       2823       
245     2     9          2637       57         1711       2994       
246     1     26         2005       2791       207        834        
247     6     22         4074       2021       650        3483       
248     12    23         378        2125       1553       818        
249     11    29         656        2763       1517       775        
250     5     9          1965       2123       296        1957       
251     5     10         3613       2123       3878       114        
252     9     25         2994       2708       3338       2704       
253     11    5          1654       3867       324        2264       
254     3     16         2119       1996       2041       661        
255     7     4          2466       874        1032       4008       
